CO_GRUPO;NO_GRUPO
1;ADMINISTRAÇÃO
2;DIREITO
13;CIÊNCIAS ECONÔMICAS
18;PSICOLOGIA
22;CIÊNCIAS CONTÁBEIS
26;DESIGN
29;TURISMO
67;SECRETARIADO EXECUTIVO
81;RELAÇÕES INTERNACIONAIS
83;TECNOLOGIA EM DESIGN DE MODA
84;TECNOLOGIA EM MARKETING
85;TECNOLOGIA EM PROCESSOS GERENCIAIS
86;TECNOLOGIA EM GESTÃO DE RECURSOS HUMANOS
87;TECNOLOGIA EM GESTÃO FINANCEIRA
88;TECNOLOGIA EM GASTRONOMIA
93;TECNOLOGIA EM GESTÃO COMERCIAL
94;TECNOLOGIA EM LOGÍSTICA
100;ADMINISTRAÇÃO PÚBLICA
101;TEOLOGIA
102;TECNOLOGIA EM COMÉRCIO EXTERIOR
103;TECNOLOGIA EM DESIGN DE INTERIORES
104;TECNOLOGIA EM DESIGN GRÁFICO
105;TECNOLOGIA EM GESTÃO DA QUALIDADE
106;TECNOLOGIA EM GESTÃO PÚBLICA
803;JORNALISMO
804;PUBLICIDADE E PROPAGANDA
