CO_QUESOBJ;NO_QUESOBJ;CTG_QUESOBJ
1;Questão 01;Formação Geral
2;Questão 02;Formação Geral
3;Questão 03;Formação Geral
4;Questão 04;Formação Geral
5;Questão 05;Formação Geral
6;Questão 06;Formação Geral
7;Questão 07;Formação Geral
8;Questão 08;Formação Geral
9;Questão 09;Componente Específico
10;Questão 10;Componente Específico
11;Questão 11;Componente Específico
12;Questão 12;Componente Específico
13;Questão 13;Componente Específico
14;Questão 14;Componente Específico
15;Questão 15;Componente Específico
16;Questão 16;Componente Específico
17;Questão 17;Componente Específico
18;Questão 18;Componente Específico
19;Questão 19;Componente Específico
20;Questão 20;Componente Específico
21;Questão 21;Componente Específico
22;Questão 22;Componente Específico
23;Questão 23;Componente Específico
24;Questão 24;Componente Específico
25;Questão 25;Componente Específico
26;Questão 26;Componente Específico
27;Questão 27;Componente Específico
28;Questão 28;Componente Específico
29;Questão 29;Componente Específico
30;Questão 30;Componente Específico
31;Questão 31;Componente Específico
32;Questão 32;Componente Específico
33;Questão 33;Componente Específico
34;Questão 34;Componente Específico
35;Questão 35;Componente Específico
